Project name,ISSUE KEY,Github
Python,,https://github.com/TheAlgorithms/Python
system-design-primer,,https://github.com/donnemartin/system-design-primer
django,,https://github.com/django/django
scikit-learn,,https://github.com/scikit-learn/scikit-learn
ansible,,https://github.com/ansible/ansible
awesome-python,,https://github.com/vinta/awesome-python
keras,,https://github.com/keras-team/keras
core,,https://github.com/home-assistant/core
flask,,https://github.com/pallets/flask
pandas,,https://github.com/pandas-dev/pandas
transformers,,https://github.com/huggingface/transformers
airflow,,https://github.com/apache/airflow
scrapy,,https://github.com/scrapy/scrapy
numpy,,https://github.com/numpy/numpy
matplotlib,,https://github.com/matplotlib/matplotlib
